id,name_of_work,content,source,split
tiny_story:1787725,TinyStory 1787725,"Once upon a time, there were two friends: Peter and Sarah. They both loved to play together. One day, they decided to play dress up.

Peter found a beautiful pin in his drawer and was eager to wear it. But Sarah was envious and didn't want him to wear it. She grabbed it before he could and spread it all around the room.

""Give it back!"" Peter yelled.

""No!"" Sarah said with a smirk.

Peter looked around the room and desperately tried to find the pin. He searched high and low until he saw a sparkle under the sofa. He quickly ran over and grabbed the pin.

""See! I found it!"" he said with a proud smile.

Sarah was unhappy and envious. But Peter and Sarah continued to play dress up and had lots of fun until it was time to go home.",tiny_story,calib
poem_sum:1270,Good Bones by Maggie Smith,"Life is short, though I keep this from my children. Life is short, and I've shortened mine in a thousand delicious, ill-advised ways, a thousand deliciously ill-advised ways I'll keep from my children. The world is at least fifty percent terrible, and that's a conservative estimate, though I keep this from my children. For every bird there is a stone thrown at a bird. For every loved child, a child broken, bagged, sunk in a lake. Life is short and the world is at least half terrible, and for every kind stranger, there is one who would break you, though I keep this from my children. I am trying to sell them the world. Any decent realtor, walking you through a real shithole, chirps on about good bones: This place could be beautiful, right? You could make this place beautiful.",poem_sum,calib
poem_sum:544,The Chalk Pit by Edward Thomas,"Is this the road that climbs above and bends Round what was one a chalk pit: now it is By accident an amphitheatre. Some ash trees standing ankle-deep in brier And bramble act the parts, and neither speak Nor stir.' 'But see: they have fallen, every one, And briar and bramble have grown over them.' 'That is the place. As usual no one is here. Hardly can I imagine the drop of the axe, And the smack that is like an echo, sounding here.' 'I do not understand.' 'Why, what I mean is That I have seen the place two or three times At most, and that its emptiness and silence And stillness haunt me, as if just before It was not empty, silent, still, but full Of life of some kind, perhaps tragical. Has anything unusual happened here?' 'Not that I know of. It is called the Dell. They have not dug chalk here for a century. That was the ash trees' age. But I will ask.' 'No. Do not. I prefer to make a tale, Or better leave it like the end of a play, Actors and audience and lights all gone; For so it looks now. In my memory Again and again I see it, strangely dark, And vacant of a life but just withdrawn. We have not seen the woodman with the axe. Some ghost has left it now as we two came.' 'And yet you doubted if this were the road?' 'Well, sometimes I have thought of it and failed To place it. No. And I am not quite sure, Even now, this is it. For another place, Real or painted, may have combined with it. Or I myself a long way back in time...' 'Why, as to that, I used to meet a man--- I had forgotten,---searching for birds' nests Along the road and in the chalk pit too. The wren's hole was an eye that looked at him For recognition. Every nest he knew. He got a stiff neck, by looking this side or that, Spring after spring, he told me, with his laugh,--- A sort of laugh. He was a visitor, A man of forty,---smoked and strolled about. At orts and crosses Pleasure and Pain had played On his brown features;---I think both had lost;--- Mild and yet wild too. You may know the kind. And once or twice a woman shared his walks, A girl of twenty with a brown boy's face, And hair brown as a thrush or as a nut, Thick eyebrows, glinting eyes---' 'You have said enough. A pair,---free thought, free love,---I know the breed: I shall not mix my fancies up with them.' 'You please yourself. I should prefer the truth Or nothing. Here, in fact, is nothing at all Except a silent place that once rang loud, And trees and us---imperfect friends, we men And trees since time began; and nevertheless Between us still we breed a mystery.'",poem_sum,calib
tiny_story:1490653,TinyStory 1490653,"One day, a polite boy named Tim found a big microscope. He wanted to look at tiny things with it. He put a small leaf under the microscope and saw many little bugs. He was very excited.

Tim went to his friend, Lisa, and said, ""Come look at this! I found a big microscope and we can see tiny bugs on a leaf!"" Lisa came running and looked into the microscope. She saw the little bugs too and was very happy.

Tim and Lisa decided to play a game. They would zip around the yard to find more things to look at with the microscope. They found a small rock, a feather, and a piece of wood. They saw many new things and had a lot of fun.",tiny_story,calib
poem_sum:717,Boot and Saddle by Robert Browning,"Boot, saddle, to horse, and away! Rescue my Castle, before the hot day Brightens the blue from its silvery grey, (Chorus) ""Boot, saddle, to horse, and away!"" Ride past the suburbs, asleep as you'd say; Many's the friend there, will listen and pray ""God's luck to gallants that strike up the lay, (Chorus) ""Boot, saddle, to horse, and away!"" Forty miles off, like a roebuck at bay, Flouts Castle Brancepeth the Roundheads array: Who laughs, Good fellows ere this, by my fay, (Chorus) ""Boot, saddle, to horse, and away!"" Who? My wife Gertrude; that, honest and gay, Laughs when you talk of surrendering, ""Nay! I've better counsellors; what counsel they?"" (Chorus) ""Boot, saddle, to horse, and away!""",poem_sum,calib
poem_sum:1556,Farewell we call to hearth and hall by J.R.R. Tolkien,"Farewell we call to hearth and hall! Though wind may blow and rain may fall, We must away ere break of day Far over wood and mountain tall. To Rivendell, where Elves yet dwell In glades beneath the misty fell, Through moor and waste we ride in haste, And whither then we cannot tell. With foes ahead, behind us dread, Beneath the sky shall be our bed, Until at last our toil be passed, Our journey done, our errand sped. We must away! We must away! We ride before the break of day!",poem_sum,calib
poem_sum:1728,A Far Cry from Africa by Derek Walcott,"A wind is ruffling the tawny pelt Of Africa. Kikuyu, quick as flies, Batten upon the bloodstreams of the veldt. Corpses are scattered through a paradise. Only the worm, colonel of carrion, cries: ""Waste no compassion on these separate dead!"" Statistics justify and scholars seize The salients of colonial policy. What is that to the white child hacked in bed? To savages, expendable as Jews? Threshed out by beaters, the long rushes break In a white dust of ibises whose cries Have wheeled since civilization's dawn From the parched river or beast-teeming plain. The violence of beast on beast is read As natural law, but upright man Seeks his divinity by inflicting pain. Delirious as these worried beasts, his wars Dance to the tightened carcass of a drum, While he calls courage still that native dread Of the white peace contracted by the dead. Again brutish necessity wipes its hands Upon the napkin of a dirty cause, again A waste of our compassion, as with Spain, The gorilla wrestles with the superman. I who am poisoned with the blood of both, Where shall I turn, divided to the vein? I who have cursed The drunken officer of British rule, how choose Between this Africa and the English tongue I love? Betray them both, or give back what they give? How can I face such slaughter and be cool? How can I turn from Africa and live?",poem_sum,calib
poem_sum:416,The Traveling Onion by Naomi Shihab Nye,"When I think how far the onion has traveled just to enter my stew today, I could kneel and praise all small forgotten miracles, crackly paper peeling on the drainboard, pearly layers in smooth agreement, the way the knife enters onion and onion falls apart on the chopping block, a history revealed. And I would never scold the onion for causing tears. It is right that tears fall for something small and forgotten. How at meal, we sit to eat, commenting on texture of meat or herbal aroma but never on the translucence of onion, now limp, now divided, or its traditionally honorable career: For the sake of others, disappear.",poem_sum,calib
poem_sum:1428,Telling the Bees by Lizette Woodworth Reese,"A Colonial Custom Bathsheba came out to the sun, Out to our walled cherry-trees; The tears adown her cheek did run, Bathsheba standing in the sun, Telling the bees. My mother had that moment died; Unknowing, sped I to the trees, And plucked Bathsheba's hand aside; Then caught the name that there she cried Telling the bees. Her look I never can forget, I that held sobbing to her knees; The cherry-boughs above us met; I think I see Bathsheba yet Telling the bees.",poem_sum,calib
tiny_story:513504,TinyStory 513504,"Once upon a time, there was a bubbly three-year-old who got very dirty every day. His mom was always worried about him and tried to find ways to help him keep clean. One day, she made him an offer. 

â€œIf you keep your hands and feet clean, I will buy you a toy,"" she said. The little boy happily agreed and followed her recommendation.

Every day thereafter, the little boy washed his hands and feet with soap. He had so much fun doing it! After a few days, his mom saw that the little boy was much cleaner and she gave him a reward. She bought him a wonderful toy and he was so delighted.

But then one day, the little boy got so busy playing that he forgot to follow his motherâ€™s recommendation. He stayed out until it was getting dark and his hands were all grimy. That night there were dark, gloomy clouds and the little boy had a bad feeling.

The next morning, his mom was so angry that she took away his toy. The little boy was sad. He finally realised that his mom had good intentions and trusted her advice. Always remember: itâ€™s important to listen and follow the recommendations of your parents, or else it might end in disappointment!",tiny_story,calib
poem_sum:359,War is Kind by Stephen Crane,"Do not weep, maiden, for war is kind. Because your lover threw wild hands toward the sky And the affrighted steed ran on alone, Do not weep. War is kind. Hoarse, booming drums of the regiment, Little souls who thirst for fight, These men were born to drill and die. The unexplained glory flies above them, Great is the battle-god, great, and his kingdom-- A field where a thousand corpses lie. Do not weep, babe, for war is kind. Because your father tumbled in the yellow trenches, Raged at his breast, gulped and died, Do not weep. War is kind. Swift, blazing flag of the regiment, Eagle with crest of red and gold, These men were born to drill and die. Point for them the virtue of slaughter, Make plain to them the excellence of killing And a field where a thousand corpses lie. Mother whose heart hung humble as a button On the bright splendid shroud of your son, Do not weep. War is kind.",poem_sum,calib
poem_sum:137,Madman by Paul Durcan,Every child has a madman on their street: The only trouble about our madman is that he's our father.,poem_sum,calib
tiny_story:809598,TinyStory 809598,"Once upon a time, there was a little girl named Sara. She was three years old and loved to play on the playground. Every day, she went to the playground and played on the slide.

One day when she was playing, her mom called her. ""Sara, time to go home!"", her mom said. But Sara refused to go home. She wanted to keep playing on the slide.

""Mommy, please! I don't want to go home!"", said Sara.

""OK, one more turn on the slide and then you have to go home,"" said her mom. Sara agreed and went down the slide one last time.

When she got to the bottom, she was sorry. She wished she had stayed and played a little bit longer. But her mom said it was time to go home.

Sara hugged her mom and said goodbye to the slide. She learned that it was sometimes important to listen to your mom.",tiny_story,calib
tiny_story:263967,TinyStory 263967,"Lila and Sam were best friends. They liked to play in the park and look at the sky. One day, they saw something shiny and fast in the sky. It was a rocket!

""Wow, look at that!"" Sam said. ""It is a rocket. It goes to space.""

""I want to see space,"" Lila said. ""Maybe there are stars and planets and aliens.""

""Maybe we can meet an alien,"" Sam said. ""That would be fun and rare. Not many people meet aliens.""

They ran after the rocket, hoping to get closer. They followed it to a big field, where it landed. They saw a door open and a green creature come out. It had four eyes, two arms and two legs. It looked friendly.

""Hello, little ones,"" the creature said. ""I am Zeebo. I come from Zork. I am here to explore your planet. Do you want to be my friends?""

Lila and Sam were surprised and curious. They nodded and smiled.

""Yes, we want to be your friends,"" Lila said. ""We are Lila and Sam. We come from Earth. This is our planet.""

""Nice to meet you, Lila and Sam,"" Zeebo said. ""You are very brave and kind. Do you want to see my rocket? It is very cool and fast.""

""Yes, please,"" Sam said. ""We love rockets. They are rare and amazing.""

Zeebo took them by the hand and led them to his rocket. He showed them the buttons, the lights and the windows. He told them stories about his home and his travels. Lila and Sam listened and asked questions. They had a lot of fun and learned a lot. They made a new friend from space. They were very happy.",tiny_story,calib
tiny_story:1260813,TinyStory 1260813,"Once upon a time, there was a cool wardrobe in a house. One day, a little monster came to stay with the family who lived there. The monster wanted to play with the familyâ€™s stuff. 

The little monster loved to pull the things out of the wardrobe and shower the familyâ€™s stuff with hugs and kisses. 

The family was scared of the little monster and yelled at it, asking it not to play with their stuff. But the monster wouldn't listen. 

The family did not know what to do, until one day the dad got an idea. He put the familyâ€™s special things inside the wardrobe and closed it tight. He said â€œWe will keep our stuff safe in the wardrobe and the monster wonâ€™t be able to touch it.â€

The dad put a big lock on the wardrobe to protect their stuff. The family felt safe and happy. The little monster was sad, but soon found other cool things to play with. 

The end.",tiny_story,calib
poem_sum:1364,The Ballad of William Sycamore by Stephen Vincent Benet,"My father, he was a mountaineer, His fist was a knotty hammer; He was quick on his feet as a running deer, And he spoke with a Yankee stammer. My mother, she was merry and brave, And so she came to her labor, With a tall green fir for her doctor grave And a stream for her comforting neighbor. And some are wrapped in the linen fine, And some like a godling's scion; But I was cradled on twigs of pine And the skin of a mountain lion. And some remember a white, starched lap And a ewer with silver handles; But I remember a coonskin cap And the smell of bayberry candles. The cabin logs, with the bark still rough, And my mother who laughed at trifles, And the tall, lank visitors, brown as snuff, With their long, straight squirrel-rifles. I can hear them dance, like a foggy song, Through the deepest one of my slumbers, The fiddle squeaking the boots along And my father calling the numbers. The quick feet shaking the puncheon-floor, And the fiddle squealing and squealing, Till the dried herbs rattled above the door And the dust went up to the ceiling. There are children lucky from dawn till dusk, But never a child so lucky! For I cut my teeth on ""Money Musk"" In the Bloody Ground of Kentucky! When I grew tall as the Indian corn, My father had little to lend me, But he gave me his great, old powder-horn And his woodsman's skill to befriend me. With a leather shirt to cover my back, And a redskin nose to unravel Each forest sign, I carried my pack As far as a scout could travel. Till I lost my boyhood and found my wife, A girl like a Salem clipper! A woman straight as a hunting-knife With as eyes as bright as the Dipper! We cleared our camp where the buffalo feed, Unheard-of streams were our flagons; And I sowed my sons like the apple-seed On the trail of the Western wagons. They were right, tight boys, never sulky or slow, A fruitful, a goodly muster. The eldest died at the Alamo. The youngest fell with Custer. The letter that told it burned my hand. Yet we smiled and said, ""So be it!"" But I could not live when they fenced the land, For it broke my heart to see it. I saddled a red, unbroken colt And rode him into the day there; And he threw me down like a thunderbolt And rolled on me as I lay there. The hunter's whistle hummed in my ear As the city-men tried to move me, And I died in my boots like a pioneer With the whole wide sky above me. Now I lie in the heart of the fat, black soil, Like the seed of a prairie-thistle; It has washed my bones with honey and oil And picked them clean as a whistle. And my youth returns, like the rains of Spring, And my sons, like the wild-geese flying; And I lie and hear the meadow-lark sing And have much content in my dying. Go play with the towns you have built of blocks, The towns where you would have bound me! I sleep in my earth like a tired fox, And my buffalo have found me.",poem_sum,calib
poem_sum:224,Died.. by Elizabeth Barrett Browning,"I What shall we add now? He is dead. And I who praise and you who blame, With wash of words across his name, Find suddenly declared instead-- ""On Sunday, third of August, dead.' II Which stops the whole we talked to-day. I quickened to a plausive glance At his large general tolerance By common people's narrow way, Stopped short in praising. Dead, they say. III And you, who had just put in a sort Of cold deduction--""rather, large Through weakness of the continent marge, Than greatness of the thing contained'-- Broke off. Dead!--there, you stood restrained. IV As if we had talked in following one Up some long gallery. ""Would you choose An air like that? The gait is loose-- Or noble.' Sudden in the sun An oubliette winks. Where is he? Gone. V Dead. Man's ""I was' by God's ""I am'-- All hero-worship comes to that. High heart, high thought, high fame, as flat As a gravestone. Bring your Jacet jam-- The epitaph's an epigram. VI Dead. There's an answer to arrest All carping. Dust's his natural place? He'll let the flies buzz round his face And, though you slander, not protest? --From such an one, exact the Best? VII Opinions gold or brass are null. We chuck our flattery or abuse, Called Caesar's due, as Charon's dues, I' the teeth of some dead sage or fool, To mend the grinning of a skull. VIII Be abstinent in praise and blame. The man's still mortal, who stands first, And mortal only, if last and worst. Then slowly lift so frail a fame, Or softly drop so poor a shame.",poem_sum,calib
tiny_story:885685,TinyStory 885685,"Tom and Lily were playing with their toys in the living room. Tom had a red car and Lily had a yellow top. They liked to make the car zoom and the top spin on the floor.

But then Tom saw Lily's top and wanted to play with it. He said, ""Give me your top, Lily. It is shiny and fun.""

Lily said, ""No, Tom. It is my top. You have your car. Go away.""

Tom did not listen. He grabbed Lily's top and ran away. Lily was angry. She chased Tom and shouted, ""Give it back, Tom. Give it back!""

Tom ran to the sofa and hid behind it. He thought he was safe. But he did not see the hairy cat sleeping on the sofa. The cat did not like Tom. He did not like loud noises. He did not like his tail being pulled.

The cat woke up and saw Tom. He hissed and scratched Tom's face. Tom cried out and dropped the top. Lily picked it up and hugged it. She said, ""Bad Tom. Bad cat. You are both mean.""

Tom ran to his mom and showed her his face. He said, ""Mom, the cat hurt me. He is a bad cat. He slapped me with his paw.""

Mom looked at Tom's face and saw the scratch. She said, ""Oh, Tom. I'm sorry. The cat was scared. He did not mean to hurt you. But you should not take Lily's top. That was not nice. You should say sorry to Lily and the cat.""

Tom felt sorry. He said, ""Sorry, Lily. Sorry, cat. Can I play with your top, Lily? Please?""

Lily smiled and said, ""OK, Tom. You can play with my top. But you have to share. And you have to be gentle with the cat. He is hairy and soft.""

Tom and Lily played with the top and the car. They took turns and made them spin and zoom. The cat watched them and purred. He was happy and calm. He liked Tom and Lily. He liked his sofa. He liked his tail.",tiny_story,calib
tiny_story:2035089,TinyStory 2035089,"Once there was a boy named Tim. He was only three years old and loved to play with his friends. One day, Tim decided to try something new - the violin! He was so excited so he asked his mom if he could try it. His mom said yes and found him a nice one.

Tim was a bit scared when he first tried to play the violin. He was afraid that he wouldn't be able to make a nice sound come out of it. But he trusted himself and tried anyway.

At first it was crazy! All the notes were all jumbled up and messy. But soon enough he was able to figure it out. Now he can play all kinds of songs on the violin and he loves it!

Whenever Tim plays the violin, he remembers that he can trust himself to try something new. He knows that he can do anything if he trusts himself and tries.",tiny_story,calib
tiny_story:1382381,TinyStory 1382381,"Once upon a time, there was a boy called Tom. Tom was three years old.

One day, Tom wanted to see an animal. So he went to his dad and asked with a big smile, ""Dad, can I have an animal?"" 

His dad smiled and replied, ""What kind of animal do you want?""

Tom thought for a while and then made a request. ""I want a tough animal!"" he said.

His dad nodded and said, ""Ok, letâ€™s go look for one!"" 

So Tom and his dad went on a journey and eventually found an elephant. It was a big and tough animal. Tom was so excited he wanted to touch it.

But his dad said, ""It's too tough for you. So remember, don't touch it!"" 

Tom nodded and watched the elephant with admiration. He was so happy that he had made a request and found such a tough animal.",tiny_story,calib
tiny_story:630802,TinyStory 630802,"Once upon a time there was a girl named Jane. Jane was three years old and she liked to study. Every morning, when she got out of bed, Jane would go to her room and study her books. She would learn about numbers and letters, and all kinds of things.

One day, Jane was studying when she saw something yummy! It was a pastry! Jane took it and ate it. It was so delicious!

When she ate the pastry, Jane noticed something. The room was really clean! She looked around and saw that her mom had cleaned it while Jane was studying. Jane felt so happy because the room looked so nice and tidy.",tiny_story,calib
tiny_story:1111693,TinyStory 1111693,"Once upon a time, there was a friendly little girl named Bella who loved to play with string. She enjoyed making shapes and designs out of the colorful string. The string gave her so much joy.

One day, Bella's mommy took her to a tall tree in the woods. She encouraged Bella to climb the slippery tree. Bella was very fearful, but she knew it would be fun to try. With mommy's help, she managed to climb up to the top of the tree.

Bella was so proud of herself. She looked down and smiled when she felt the gentle breeze on her face. She made a game out of the string by weaving it around the branches of the tree. She was so excited when she made a beautiful bird out of the string.

Bella was happy that her mommy had encouraged her to do something brave. She knew that with her own encourage she could do anything!",tiny_story,calib
tiny_story:1393338,TinyStory 1393338,"Once there was a very cheerful fox who liked to speed around the woods. He was so fast that no creature in the forest could match his pace.

One day he was running faster than ever. So fast that he bumped into a big tree and hurt himself.

The fox was in so much pain that he had to have an operation. He was so scared that he cried and cried. 

After the operation, the fox learnt a valuable lesson. He decided to slow down and be more careful when running around the forest. 

His friends and family were pleased that he was more careful when running from then on. They were careful and cautious but could still have fun and enjoy life.",tiny_story,calib
tiny_story:74966,TinyStory 74966,"Mommy and Baby Bear were preparing for a picnic. Baby Bear was very excited and wanted to take his blanket. Mommy was happy to let him take the blanket, since it would be useful during their picnic. 

Mommy said, ""You can take your blanket but remember that you'll have to carry it."" 

Baby Bear replied, ""Yes, Mommy. I will take it with me!""

So, Mommy and Baby Bear took the blanket and went off to the park. Once they arrived, they spread the blanket on the grass and started eating all the yummy food that Mommy had prepared.

Baby Bear said, ""This picnic is the best! Thank you for bringing the blanket, Mommy."" 

Mommy smiled and said, ""You are very welcome, my dear. The blanket was definitely useful!""",tiny_story,calib
tiny_story:1854271,TinyStory 1854271,"Once upon a time, there was a small boy named Peter. He liked to play in the garden. Every day, Peter would point to something new in the garden and say, ""Good!"" 

One morning, Peter was pointing to a big tree, when he spotted a large bush. He said, ""Good!"" and ran to it. ""What is this?"" he asked. 

A big bird was perched on the bush. It flew away when Peter came close. But it left behind a shiny yellow egg! 

Peter pointed at the egg and said, ""Good!"" He carefully picked it up and took it back to the tree. Then he called for his mommy and showed her the egg. 

His mommy looked surprised. Then she smiled and said, ""Very good, Peter! We will take care of it together until it hatches. Can you do that?"" 

Peter nodded and pointed at the egg. He knew he was going to look after something very special. And soon, he found out what it was - a little baby bird!",tiny_story,calib
poem_sum:750,An Introduction to Some Poems by William Stafford,"Look: no one ever promised for sure that we would sing. We have decided to moan. In a strange dance that we don't understand till we do it, we have to carry on. Just as in sleep you have to dream the exact dream to round out your life, so we have to live that dream into stories and hold them close at you, close at the edge we share, to be right. We find it an awful thing to meet people, serious or not, who have turned into vacant effective people, so far lost that they won't believe their own feelings enough to follow them out. The authentic is a line from one thing along to the next; it interests us. strangely, it relates to what works, but is not quite the same. It never swerves for revenge, Or profit, or fame: it holds together something more than the world, this line. And we are your wavery efforts at following it. Are you coming? Good: now it is time.",poem_sum,calib
poem_sum:1381,50-50 by Langston Hughes,"I'm all alone in this world, she said, Ain't got nobody to share my bed, Ain't got nobody to hold my hand-- The truth of the matter's I ain't got no man. Big Boy opened his mouth and said, Trouble with you is You ain't got no head! If you had a head and used your mind You could have me with you All the time. She answered, Babe, what must I do? He said, Share your bed-- And your money, too.",poem_sum,calib
