name_of_work,content,source
VIST Story 27798,people from all over the city come to its bike park to experience the joys of those big ramps . biking is an important part of the city ; bikers even get their own lane ! and everyone makes sure to own a bike because it 's what all the cool kids use to get around .,vist:test.story-in-sequence.json:story_27798
VIST Story 33936,going to a carnival can be a scary thing . some of the rides can be frightening . i never understood how making yourself scared is fun . or spinning until you are sick . i think this is more my speed .,vist:test.story-in-sequence.json:story_33936
VIST Story 10664,the annual parade got started with the fine looking girls . one of our local car dealers was displaying his products . the local hillbillys had to show off their toys . they also showed their support by displaying flags . the audience was hard to please .,vist:test.story-in-sequence.json:story_10664
VIST Story 22059,"the family was really proud of renovating its new house . they had just recently added new couches . they also installed a new chandelier . in addition , they bought a new baby crib . the last thing they did was paint the walls of their children 's rooms .",vist:test.story-in-sequence.json:story_22059
VIST Story 29583,"merilee was excited to celebrate her anniversary with her family . there was lovely appetizers , and some delicious treats . everyone came together to help celebrate , and even made them a cake !",vist:test.story-in-sequence.json:story_29583
VIST Story 41585,today was a ceremony for the junior hockey league . i received an award for my performance . all of us together after the ceremony . at home showing my award to friends and family . everyone was really proud of me today .,vist:test.story-in-sequence.json:story_41585
VIST Story 46136,looks like the ladies are gathering in the kitchen again . aunt [female] retreated to her favorite chair . while aunt mel is enjoying a cold one to celebrate the reunion . uncle [male] ca n't even stay awake . he hates these kind of things . it is great to see the whole family get together again .,vist:test.story-in-sequence.json:story_46136
VIST Story 45530,the local parish holds a craft show each year . lots of folks come out and set up tables to sell their crafts . some of these crafts are very unique and take a lot of talent to make . folks of all ages come out to peruse the crafts for sale . some of the crafters even dress up in unique costumes as part of their selling act .,vist:test.story-in-sequence.json:story_45530
VIST Story 45531,"i was so excited to be heading to the crafts fair . when i arrived i saw a great booth with a variety of great crafts . i stopped at chatted at my friend [female] 's booth for a bit . there were even booths set up for all of the kids . i found some awesome crafts at the fair , i 'm really happy that i went .",vist:test.story-in-sequence.json:story_45531
VIST Story 45532,"the church is old , but it has a nice history . they display this history during the afternoon . some books even talk about location . the older members of the church remember these things . it makes them sad .",vist:test.story-in-sequence.json:story_45532
VIST Story 45533,the people arrived to get ready for the craft fair . the various merchants set up their booths . the different merchants got together to talk before people began to arrive . even the kids got to make some crafts . everyone is set up and ready for the craft fair .,vist:test.story-in-sequence.json:story_45533
VIST Story 45534,the annual victorian craft fair was hosted at the parish church of location location and organization organization again this year . vendors came from all over the state to show off their crafts . there was a large variety of pictures and decor . even mr [male] made an appearance . he brought along one of his bird toys to wow the visitors . everyone always loves him .,vist:test.story-in-sequence.json:story_45534
VIST Story 45535,the family takes a trip to the local carnival . there are lots of rides to enjoy this year . there are even rides for folks as young as this small boy . there are also lots of games and prizes to win . although some of the games seem fixed and a waste of money .,vist:test.story-in-sequence.json:story_45535
VIST Story 45536,mom decided to take her daughter to the carnival . they rode a lot of rides . their favorite was the dragon ship . then they spent some time trying to win stuffed animals . it was a great day !,vist:test.story-in-sequence.json:story_45536
VIST Story 45537,we had an exciting day at the fair ! the lights lit up the night and the rides made us all dizzy . the dragon coaster was mom 's favorite . the arcade games had the funniest stuffed monkeys as prizes . we threw a million darts trying to win one !,vist:test.story-in-sequence.json:story_45537
VIST Story 45538,the family got together to go to the fair . when they arrived they saw some airplanes in the back of a truck . the kids had a hard time deciding what to ride first . then they played some games to win prizes . finally they played the dart game .,vist:test.story-in-sequence.json:story_45538
VIST Story 45539,"[female] and [female] are having a great time at the carnival on the rides . whoa , exclaims [female] and [female] as the ride speeds up and goes faster . now onto the dragon ride . [female] and [female] are having a blast . [female] tries to win a stuffed prize for [female] . she knows that [female] loves monkeys . [female] and [female] notice another family playing another type of prize game and decides to try it out when they are finished before leaving the carnival .",vist:test.story-in-sequence.json:story_45539
VIST Story 45540,the japanese tech show had toys and gadgets for everyone . a robot that looked like a seal was used for autism research . segways were redesigned to be more efficient . pint sized robots roamed the tables . and child sized robots left everyone in awe .,vist:test.story-in-sequence.json:story_45540
VIST Story 45541,checking out a car at the car show the cat is is laying on the table next to 2 crystal shot glasses a modern compact type of boat at a display that resembles a plane a boy happily standing next to a robot a display stirring the big bowl of soup in a colorful bowl with a red spoon,vist:test.story-in-sequence.json:story_45541
VIST Story 45542,we went to a science show and saw some of the new inventions . including some stuffed animals . segways were everywhere . there were also robots . some of the robots were as big as children .,vist:test.story-in-sequence.json:story_45542
VIST Story 45543,we went to an technology show . they had some unusual things . my dad liked this scooter thing . there were lots of small robots . there were some bi robots too .,vist:test.story-in-sequence.json:story_45543
VIST Story 45544,today 's convention involved a bunch of new technology . electronic seals dazzled the attendees . a man on a segway showed off some tricks he had been working on for years . a small robot stood on a table and talked trash to people walking by . an even bigger robot walked around taking pictures with attendees until it was shut down .,vist:test.story-in-sequence.json:story_45544
VIST Story 45545,the family sits together for dinner on the first night of the annual reunion . the restaurant we chose had amazing food and everyone loved the presentation . gemma really adored the restaurants decorations and was always gazing at them . aunt harriot had a little trouble deciding what kind of wine she wanted tonight . [male] had the whole family cracking up with his jokes .,vist:test.story-in-sequence.json:story_45545
VIST Story 45546,"the family reunion had plenty of long-awaited greetings to start . eventually , we all filled each other in with deep conversation ... some of us were quite happy to see one another . of course , we filled our bellies with hearty food . what better way to celebrate family than over a delicious meal ?",vist:test.story-in-sequence.json:story_45546
VIST Story 45547,we all got together for my parents aniversary . we had amazing steak to celebrate . we had a few making speeches and be funny . there was a few sentimental moments thrown in . then it quickly turned funny again .,vist:test.story-in-sequence.json:story_45547
VIST Story 45548,a look down the table at our family gathering . the food looked amazing at the meal . mom and dad seemed to be having a wonderful time . [female] starred deeply into the wine bottle . dad cracked one of his famous dirty jokes .,vist:test.story-in-sequence.json:story_45548
VIST Story 45549,it was a family get together . they even had fancy nice steak and tacos . [female] laughs at a joke her sister told her . the family is having a wonderful time together . sharing so many memories and laughs together .,vist:test.story-in-sequence.json:story_45549
VIST Story 45550,today i painted [female] 's fingernails . then she got to blow out her birthday candles and eat cake ! later on we looked at her old baby pictures . she loved this one of her making her angry face . this was her favorite though . she thought she looked like a princess . we sat looking at old pictures eating cake for the rest of the evening .,vist:test.story-in-sequence.json:story_45550
VIST Story 45551,"my daughter had her nails painted . we went for a walk down the beach . it was her birthday that day so we got her a big cake . she made a duck-face which made us think she was angry . in reality , she was happy .",vist:test.story-in-sequence.json:story_45551
VIST Story 45552,started the day off by painting her nails . enjoying the beach with her father and brother . blowing out the candles of her birthday cake . birthday girl having a moment of anger . her face quickly changes to a smile .,vist:test.story-in-sequence.json:story_45552
VIST Story 45553,"we painted liz 's fingernails and toenails before her party , and she wore her nice new clothes . when the party happened , she was most excited about her cake . later that day we tried to take her picture , but she kept making funny faces . she was a little tired , and did n't want her picture taken . we did get one great shot , though .",vist:test.story-in-sequence.json:story_45553
VIST Story 45554,the family decided to take a beach vacation to celebrate their daughter 's birthday . up first : pedicures ! dad and the kids took a walk under the boardwalk while mom decorated . the girl blew out her candles and made a wish . but the puppy she wished for never showed . this made her sad . she cheered up after opening up presents .,vist:test.story-in-sequence.json:story_45554
VIST Story 45555,"we went to the stadium early to eat and sight see before the game . the view was incredible . you could see the entire city . we got to our seats , and could n't believe how close to the field they were we could see all the action . once the national anthem was sung , and the first pitch was thrown , the excitement began . it was a great game !",vist:test.story-in-sequence.json:story_45555
VIST Story 45556,"i took the family to a baseball game and we saw this awesome car before the game , that you had a chance to win in a raffle . we were lucky enough to get to the game early and our seats were amazing . of course we had to get a family selfie during the game . the scoreboard was so huge , i had to get a photo of it . the girls loved being so close to the field that they could reach out and touch the ground if they wanted to .",vist:test.story-in-sequence.json:story_45556
VIST Story 45557,we got to go to the stadium for an organization game . we posed by the window . the family posed by the field . we were very close . the scoreboard could be clearly seen .,vist:test.story-in-sequence.json:story_45557
VIST Story 45558,"the whole family went to the stadium on thursday . the daughter was especially excited to see the baseball game . it was a good opportunity for them to spend time together and have fun . many people were there at the stadium , and everybody was just as excited as the family . as the scoreboard showed , it was a close game , which made it even more fun to watch .",vist:test.story-in-sequence.json:story_45558
VIST Story 45559,we had a great view of location location location from our hotel room . we took a picture of our daughter with the park . later at the game we took a family picture . i then took a panorama picture inside . the organization ended up winning the game .,vist:test.story-in-sequence.json:story_45559
VIST Story 45560,"i got this great , new bike for my birthday ! i am so excited i am going to ride it everywhere i can in one day . i will ride it threw the woods and down the road . i will ride it to the lake , okay , that was exhausting . i think i 'll take a nap and ride my bike some more tomorrow .",vist:test.story-in-sequence.json:story_45560
VIST Story 45561,he wanted to take a ride on his new bike . we went on a nice ride out to the lake . we really enjoyed the beautiful view from the dock . it was very peaceful watching the boats . we had such a busy day he needed a nap .,vist:test.story-in-sequence.json:story_45561
VIST Story 45562,"[male] and i went out for a bike ride . [male] believes that he will become the next greatest bike rider . [male] was going so fast here , he was like a rocket ! he came to the pier first , and so we had to buy pizza . he was going so fast , he slept like a dear !",vist:test.story-in-sequence.json:story_45562
VIST Story 45563,i bought my son a new bicycle for his birthday . he spent the afternoon riding it up and down the road . he rode it pretty far into a wooded area . then he rode it out to the docks and stopped to watch the boats on the water . all that riding tired him out and he fell asleep on our car ride back home .,vist:test.story-in-sequence.json:story_45563
VIST Story 45564,today we went for a long bike ride through the park . the boy led the way and i followed behind . he was full of energy and could n't stop exploring the park . he made it to the dock and decided that was a good place to end the journey . he must have tired himself out because he fell asleep as soon as we got in the car !,vist:test.story-in-sequence.json:story_45564
VIST Story 45565,"we took the boat out for a ride on the lake . we all piled on for a great conversation and had a few drinks . the captain of this ship is so young , just a baby really . we went by a cabin on the lake , maybe we 'll rent that for our next vacation . every body had a great time and ca n't wait to do it again .",vist:test.story-in-sequence.json:story_45565
VIST Story 45566,my name is [male] . i am a happy baby this is my grandpa alvin . we always have a good time when we get together this is my dad . my dad like sto take me to the park in the park we sit outside and watch the people and the boats in the lake i am really tired from my day in the park . my dad says i can take a nap now .,vist:test.story-in-sequence.json:story_45566
VIST Story 45567,"last weekend we decided to ride our motorboat with my parents so they can see their grandchild , [male] . this is me on the right with my parents , [male] and [female] before the ride . grandpa steered the motorboat with my son [male] on his lap . we enjoyed the relaxing ride on the motorboat as we passed by some houses along the river . it was a relaxing trip and what abetter way to bond with my parents on that saturday afternoon .",vist:test.story-in-sequence.json:story_45567
VIST Story 45568,boating on the lake with family relaxing on the boat let baby drive for a while . we spotted the lodge . and headed back to shore .,vist:test.story-in-sequence.json:story_45568
VIST Story 45569,"we took a trip out on the lake in uncle [male] 's new boat on thursday . uncle [male] , aunt [female] , and aunt [female] relaxed in the back drinking beers . grandpa drove with little [male] on his lap while his parents looked on . we passed the house where grandpa used to live and he pointed it out to us . it was great to spend time with family !",vist:test.story-in-sequence.json:story_45569
VIST Story 45570,"our first stop at the local carnival was the face painting booth . once mine was done , mom got one , too and then we stood and watched my daughter get hers done . she picked a really cute face and we hardly recognized her afterwards . next we looked at crafts while the kids were entertained by the balloon lady . the balloon lady was face painted as a clown and the kids loved her .",vist:test.story-in-sequence.json:story_45570
VIST Story 45571,the whole family visited a local fair . grandpa was smiling for the photo . dad doing his best to stay cool in the shade . the kids enjoyed getting their faces painted . mother and son together .,vist:test.story-in-sequence.json:story_45571
VIST Story 45572,we were at the fair at a booth . me and my friend both had our faces painted . my little sister had a tiger painted on her . [male] was sitting in a chair by himself . he posed with this lady .,vist:test.story-in-sequence.json:story_45572
VIST Story 45573,i love going to the art fest . me and my mom got our faces painted . my daughter was transformed with the face paint . so many people had booths there . my husband even had a good time,vist:test.story-in-sequence.json:story_45573
VIST Story 45574,"every year when we go to the fair , i always love seeing all the face painting . the adults are n't afraid to look a little silly . and the kids like to go all-out by getting their whole face covered in paint . this year there was also a glass artist . and he was n't afraid to be a little silly , too , because here he is with a clown .",vist:test.story-in-sequence.json:story_45574
VIST Story 45575,jimmy is walking up to the group of people at the farm the pigs are anxiously awaiting jimmys arrival as well jeff doesnt want to hear matt keep asking when jimmy will be there ! ! off int he fireld they see the shape of a man and realize jimmy is there ! ! the girls are really happy to see thier friend,vist:test.story-in-sequence.json:story_45575
VIST Story 45576,"we went to a vineyard for the holiday weekend . there were pigs there ! it was my first time seeing such pigs . our friend wore a funny hat that caught everyone 's attention . he was the subject for many jokes . later , we all gathered at the long table to eat and drink wine .",vist:test.story-in-sequence.json:story_45576
VIST Story 45577,"today we visited a farm . we spotted some pigs . at the table , my brother and i jokes around . the windmills were spinning . we got on a hayride and had a great time .",vist:test.story-in-sequence.json:story_45577
VIST Story 45578,"[male] thought it would be funny to play with the local pigs with his new toy . the pigs were annoyed by the bubbles and started to squeal loudly at the commotion [male] caused . [male] 's friends could n't stand the loud pig noises and told him to stop . to escape the pig noises , [male] and his friends decided to travel along the farmland , but got lost in a field of plants . they met up with two woman who were also lost in the field and the two groups had no choice but to survive together until help could arrive .",vist:test.story-in-sequence.json:story_45578
VIST Story 45579,"hi . every summer we head out midwest to location to visit my relatives and experience country life . here we see my cousin 's pigs and are they huge and noisy pigs . these are my cousins having a fun moment with each other . while it was hot and humid , we really enjoyed the country view with less noise and traffic and no buildings . and these are my friends and relatives while we check out the produce of their farm .",vist:test.story-in-sequence.json:story_45579
VIST Story 45580,the guys sit down to a few beers at the table it looks like they may be up to some cards . she spends some time with the young baby . a black dog comes around to enjoy the day . maybe he smelled the delicious crabs being cooked .,vist:test.story-in-sequence.json:story_45580
VIST Story 45581,our family recently got together to cook out and eat some crabs . this was the first time i ever got to hold a crab . most of us ate them outside in the backyard . some could not stand the heat and ate them inside on the deck . our cat smells something fishy and decided to see what was going on .,vist:test.story-in-sequence.json:story_45581
VIST Story 45582,"we invited the family over for a crab boil . the kids sat around , useless as usual , as the adults did the work . my mother sat with the baby most of the time . the dog got antsy and started sniffing around for food . then we loaded the crabs in the pan and prepared them for cooking .",vist:test.story-in-sequence.json:story_45582
VIST Story 45583,their dad is there ring leader . he gathers the guys around out back . his mom babysits while he conducts the meetings . the dog watches guard to make sure no one interrupts they about using crabs for protection also .,vist:test.story-in-sequence.json:story_45583
VIST Story 45584,we had a blue crab boil . everybody got to talk with each other while cracking open crabs . mom got to see our baby too . the dog tried to steal some crab to eat . we had dozens of blue crab to eat .,vist:test.story-in-sequence.json:story_45584
VIST Story 45585,"our western location road trip took us to some amazing places . we went to an old western pueblo . we visited some random towns we had never heard of . we rode into organization , and decided to stay here for the night . we found a great cantina , and ate tacos and drank some beer before retiring to the hotel .",vist:test.story-in-sequence.json:story_45585
VIST Story 45586,"i finally arrived at zuni ! i stayed there all the way until it was night time . when it was dark , i wanted to explore the city . unfortunately , it was extremely empty for some reason . i ended up getting a drink at a local cafe .",vist:test.story-in-sequence.json:story_45586
VIST Story 45587,we were on a road trip . we stopped by the pueblo . then we went to zuni . we snapped a pic of this . after a long time of driving we had to stop at a cafe to get something to eat .,vist:test.story-in-sequence.json:story_45587
VIST Story 45588,"we are on our way to location . look how low the clouds hang . this pueblo of zuni sign made me feel like i was in the location location . we are officially entering into location and so is the rain . the winds were so strong during the storm , this sign was blown over we stopped in for some mexican , american food to end the night .",vist:test.story-in-sequence.json:story_45588
VIST Story 45589,"a group of friends decided to take a road trip through location location . they stopped in a town called location . it was n't very lively out , despite being friday night . they walked around looking for a place to eat . they finally found an open cafe and had some mexican-american grub .",vist:test.story-in-sequence.json:story_45589
VIST Story 45590,when we finally brought our son home from the hospital so many people were at home with us to see him . everyone wanted a chance to hold him ! we were all so happy to have a new addition to the family . my parents were so proud to be grand parents ! i am so happy and i love my son very much !,vist:test.story-in-sequence.json:story_45590
VIST Story 45591,everyone was really excited when we brought the baby home . they all wanted to see and hold him . he was very popular . the entire family had come to see him . we are very glad to be parents .,vist:test.story-in-sequence.json:story_45591
VIST Story 45592,"my mother introduced my nephew to his newest cousin not long after he was born . my grandmother then held him as my mother took my nephew for a bath . next was my father , who looked a bit awkward holding him . they soon gave him back to me when he started crying . i got him to stop and sleep . he slept in my arms the rest of the night .",vist:test.story-in-sequence.json:story_45592
VIST Story 45593,people are sitting on the floor . a grandmother is holding her grandchild . a man is holding a baby . a family is holding a baby . a man is holding his child .,vist:test.story-in-sequence.json:story_45593
VIST Story 45594,my sister had a baby the whole family came over to meet him my father is a grandfather for the first time and my grandparents are great grandparents now daddy loves his child,vist:test.story-in-sequence.json:story_45594
VIST Story 45595,the family is having a party in the park . [male] wonders who has the ball . [female] is ready for action . [male] 's waiting for the baseball to come his way . everyone is too tired to pack up and go home .,vist:test.story-in-sequence.json:story_45595
VIST Story 45596,"this afternoon , the baseball team had a practice game on the field . coaches and parents sat in lawn chairs and observed from afar . our resident photographer had brought along his camera . the coach wore sunglasses to shield his eyes from the bright sun . meanwhile , out on the field , the players were working hard .",vist:test.story-in-sequence.json:story_45596
VIST Story 45597,we set up our chair for the softball game . they were getting ready to play . the ball was thrown . she ran to catch the ball . our team scored a point . we enjoyed relaxing and watching the game .,vist:test.story-in-sequence.json:story_45597
VIST Story 45598,people gathered to watch their families play a game together . a lady waited for the ball to come to her . another girl was ready to play . one man had waited a long time to be able to show his family how much skill he had . everyone had a great time watching .,vist:test.story-in-sequence.json:story_45598
VIST Story 45599,"everyone gathered for game day . my husband stood with his mitt , upset by the score . my coworker was really into the game . while others just stood in the field . i sat in my chair laughing at the game .",vist:test.story-in-sequence.json:story_45599
VIST Story 45600,our family recently went out together for a meal . this dish was my favorite since i really like noodles . there was a plate of meat for those that liked that . i took a lot of pictures and got some good ones . i like this photo where they were trying hard to be comical .,vist:test.story-in-sequence.json:story_45600
VIST Story 45601,mother and child are happy . something funny is going on . the little one has no idea . someone 's in for a surprise . maybe we 'll find out over dinner .,vist:test.story-in-sequence.json:story_45601
VIST Story 45602,the family all gathered around for dinner . we made some noodles . we also had tariyaki chicken . [female] pulled out the organization . they joked around as she snapped some pictures .,vist:test.story-in-sequence.json:story_45602
VIST Story 45603,"family night , tonight we chose our favorite restaurant . it has our favorite dishes . we often fight over this dish if it is the last one available . and our cousin ca n't help herself , but we usually run when we see her with her camera ! or we make faces ! we had a great night . ca n't wait till next month .",vist:test.story-in-sequence.json:story_45603
VIST Story 45604,the whole family gathered for dinner . there was lots of food . we made some wonderful traditional dishes . mom took lots of photos . everyone was posing for her .,vist:test.story-in-sequence.json:story_45604
VIST Story 45605,"in location we do fund raising with a difference ! welcome to the first annual prostrate cancer prevention triathlon ! first you will do a five meter dash to the first food tent . the tent is crowded so please be patient . remember , you are eating for a cause . once you finished your first meal , you will swim 10 kilometers against the current in the location location . watch out for cramps ! your reward ? a wonderful meal of location and pea meal bacon . also , you will be helping a very good cause .",vist:test.story-in-sequence.json:story_45605
VIST Story 45606,"not the greatest breakfast but it will fill me up enough to give me energy . here is the starting line ! woo hoo , i 'm gon na win this . breakfast tables of champions . here is my new shirt , i will cherish . here is where i '' m gon na win this race .",vist:test.story-in-sequence.json:story_45606
VIST Story 45607,"today we run for charity , this sign explains it all . you start on one side , you end on the other . it will be a great circle of a run . the competitors were all gathered , competition was in the air . the lake we were going to run around was pretty big and deep . before we raced however we ate a hearty meal .",vist:test.story-in-sequence.json:story_45607
VIST Story 45608,it was a rainy day but we still came out to raise money for prostate cancer treatment . finally i see the finish line . we walked and ran for a good cause . afterwards we gathered under a tent for some hot breakfast . while waiting for my breakfast i see ducks playing in the lake . my breakfast arrives just in time . bacon and french toast . my favorite .,vist:test.story-in-sequence.json:story_45608
VIST Story 45609,the community came out to support the prostate cancer awareness . the fund raising marathon has not started yet . the people gathered under the tent because it started to rain . the rain has caused the water to rise in the lake . the food prepared for the community consisted of bacon and pancakes .,vist:test.story-in-sequence.json:story_45609
VIST Story 45610,many people enjoyed meeting professional baseball players at today 's game . the children were excited waiting in line to meet their heroes . many families enjoyed spending time together while getting to meet their favorite baseball players . a baseball player demonstrates his skill and catches the ball . fans enjoyed the view of the game from the stands before this exciting day ended .,vist:test.story-in-sequence.json:story_45610
VIST Story 45611,this is a stadium that we saw our favorite team play baseball . they let us come on the field to meet some of the players . they even let me throw a pitch from the pitcher 's mound . we saw how the baseball officials worked . this was a great player that talked to us before we went home .,vist:test.story-in-sequence.json:story_45611
VIST Story 45612,the audience watches closely as the baseball game begins . the team poses for pictures the lucky fans . some fans even get to pitch a baseball . the catcher and the pitcher discuss game plans . the pitcher walks to the dugout for a short break .,vist:test.story-in-sequence.json:story_45612
VIST Story 45613,out on a family outing . some of the kids posing on the field . first pitch thrown for the game . pitcher is getting ready . off to the dugouts .,vist:test.story-in-sequence.json:story_45613
VIST Story 45614,i got to go to my first baseball game . we went onto the field before the game started and got picture with some of the players . the pitcher was on target . the team i was routing for won .,vist:test.story-in-sequence.json:story_45614
VIST Story 45615,i 've got a cottage on the lake that i like to go to for vacations . the lake is actually pretty big . we also have a boat out there . we usually build a campfire after the sun goes down . we build the fire in the compost pile because ashes are good for the garden .,vist:test.story-in-sequence.json:story_45615
VIST Story 45616,"the fire burned in an angry and nasty biblical way . the flames seemed to reached toward heaven . the sky was gray , dark with clouds gathered from the smoke of the fire . the fire as it appears to be loosing its power . fire , still destructive and cruel , but appearing contained .",vist:test.story-in-sequence.json:story_45616
VIST Story 45617,"we stayed by a lake . the lake was very calm . we decided to take a boat ride out . later that evening , we built a fire . we just sat and relaxed around it .",vist:test.story-in-sequence.json:story_45617
VIST Story 45618,"the lake house had a little dock for the boat . the water was very still that day . we went out on the jet skis . at night , we light a fire and hung out . the fire burnt great and we even cooked a bit on it .",vist:test.story-in-sequence.json:story_45618
VIST Story 45619,i went down to the beach last weekend . there was a big fire there . the storm clouds were also coming in . i spent some time at the beach . after a few hours i left to go home .,vist:test.story-in-sequence.json:story_45619
VIST Story 45620,"we went to the beach on holiday . it was a beautiful day , and i saw nature like i had never seen it before . during lunchtime we went to a local cafe and enjoyed the ambiance . we saw some of the local artistry on the way back to the beach . it was a gorgeous day to spend with family .",vist:test.story-in-sequence.json:story_45620
VIST Story 45621,"everyone was excited to be going on vacation . we stopped at a memorial and spent our time reading about the history of it . it was fourth of july that day , we were proud to be americans . we decided to go on a diving trip , it seemed exciting . we spent the rest of the day on the water , it was a great day !",vist:test.story-in-sequence.json:story_45621
VIST Story 45622,we went on a tour of location location we visited some of the monuments we saw the big american flag there were even some scuba divers that were going to do testing it was neat seeing them go into the location like that,vist:test.story-in-sequence.json:story_45622
VIST Story 45623,"he was inspired by the ducks . he liked the way the sand that had washed looked . at lunch he drew a sketch . he would hang the painting in the other window like this one . once he got done , they could hang out down by the shore .",vist:test.story-in-sequence.json:story_45623
VIST Story 45624,the water was calm near the shore . the people laughed at the window and then they laid out .,vist:test.story-in-sequence.json:story_45624
VIST Story 45625,i went on a nature hike with my dad and my brother . we eventually ran across this creek . there was a huge boulder right in the middle of the stream . my dad joked about diving off . i used the self timer and got a picture of us all together .,vist:test.story-in-sequence.json:story_45625
VIST Story 45626,my dad and i went hiking last weekend . we went through some amazing valleys . the mountains had gorgeous rocks on them . there were hidden rivers all over the place . we met up with our friend before going home to eat .,vist:test.story-in-sequence.json:story_45626
VIST Story 45627,"taking a hike in the beautiful mountain side . loving the flow of the creek , very relaxing . my dad and husband standing by a rock . dad acting like he was going to dive in creek . beautiful generation of wonderful men with an amazing background .",vist:test.story-in-sequence.json:story_45627
VIST Story 45628,a father and sons went camping on a mountain trail . they saw a beautiful river . they took pictures by large rocks . they stood on boulders . the other put his arms around his sons .,vist:test.story-in-sequence.json:story_45628
VIST Story 45629,"people who do n't appreciate nature absolute baffle me . a babbling brook is more pleasant and calming than anything else in the world . i often go on hikes with my father . my dad taught me everything i know about surviving in the wilderness . after a lot arm twisting , we got my brother to come along on our last hike .",vist:test.story-in-sequence.json:story_45629
VIST Story 45630,"here 's the family eating food , it 's delicious . they are all so family oriented that they did n't realize that their is n't enough chairs ! they all encourage to eat as much food as possible , even the kid has a sippy cup . some people need a break from eating too much food . some people like to read after eating too much !",vist:test.story-in-sequence.json:story_45630
VIST Story 45631,"a young boy watched his dad and grandpa work on a backyard project . after they finished their project , the family sat down to a meal . there was potatoes , beef , and rice . full from all of the food , they sat on the couch to look at family pictures . two members were so exhausted from the long day that they fell asleep in their chairs .",vist:test.story-in-sequence.json:story_45631
VIST Story 45632,"at the family gathering , some yard maintenance needs to get done . the family sits at the table inside to eat together . the dinner is steak , potatoes and a side dish . after dinner is story time and the kids listen closely . a nap is necessary after a long day .",vist:test.story-in-sequence.json:story_45632
VIST Story 45633,the guys working in the yard before dinner . our sunday family dinner . plenty to go around . decided to read the kids a story after dinner . she kept him up late last night .,vist:test.story-in-sequence.json:story_45633
