name_of_work,content,source
Nothing to fear but fear itself,"First Inaugural Address, March 4, 1932 This great Nation will endure as it has endured, will revive and will prosper. So, first of all, let me assert my firm belief that the only thing we have to fear is fear itself--nameless, unreasoning, unjustified terror which paralyzes needed efforts to convert retreat into advance... In such a spirit on my part and on yours we face our common difficulties. They concern, thank God, only material things... More important, a host of unemployed citizens face the grim problem of existence, and an equally great number toil with little return. Only a foolish optimist can deny the dark realities of the moment. Yet our distress comes from no failure of substance... Plenty is at our doorstep, but a generous use of it languishes in the very sight of the supply. Primarily this is because the rulers of the exchange of mankind's goods have failed, through their own stubbornness and their own incompetence... This nation asks for action, and action now. Our greatest primary task is to put people to work... It can be accomplished in part by direct recruiting by the Government itself, treating the task as we would treat the emergency of a war, but at the same time, through this employment, accomplishing greatly needed projects to stimulate and reorganize the use of our natural resources... ...These measures, or such other measures as the Congress may build out of its experience and wisdom, I shall seek, within my constitutional authority, to bring to speedy adoption. But in the event that the Congress shall fail to take one of these two courses, and in the event that the national emergency is still critical... I shall ask the Congress for the one remaining instrument to meet the crisis--broad Executive power to wage a war against the emergency, as great as the power that would be given to me if we were in fact invaded by a foreign foe...",poem_sum:poemsum_train.csv:row_20
The Snowman on the Moor by Sylvia Plath,"Stalemated their armies stood, with tottering banners: She flung from a room Still ringing with bruit of insults and dishonors And in fury left him Glowering at the coal-fire: ""Come find me""-her last taunt. He did not come But sat on, guarding his grim battlement. By the doorstep Her winter-beheaded daisies, marrowless, gaunt, Warned her to keep Indoors with politic goodwill, not haste Into a landscape Of stark wind-harrowed hills and weltering mist; But from the house She stalked intractable as a driven ghost Across moor snows Pocked by rook-claw and rabbit-track: she must yet win Him to his kneesn-",poem_sum:poemsum_train.csv:row_21
A Stopwatch and an Ordnance Map by Stephen Spender,A stopwatch and an ordnance map. At five a man fell to the ground And the watch flew off his wrist Like a moon struck from the earth Marking a blank time that stares On the tides of change beneath. All under the olive trees. A stopwatch and an ordnance map. He stayed faithfully in that place From his living comrade split By dividers of the bullet Opening wide the distances Of his final loneliness. All under the olive trees. A stopwatch and an ordnance map. And the bones are fixed at five Under the moon's timelessness; But another who lives on Wears within his heart forever Space split open by the bullet. All under the olive trees.,poem_sum:poemsum_train.csv:row_22
Still Falls the Rain by Edith Sitwell,"Still falls the Rain-- Dark as the world of man, black as our loss-- Blind as the nineteen hundred and forty nails Upon the Cross. Still falls the Rain With a sound like the pulse of the heart that is changed to the hammer-beat In the Potter's Field, and the sound of the impious feet On the Tomb: Still falls the Rain In the Field of Blood where the small hopes breed and the human brain Nurtures its greed, that worm with the brow of Cain. Still falls the Rain At the feet of the Starved Man hung upon the Cross. Christ that each day, each night, nails there, have mercy on us-- On Dives and on Lazarus: Under the Rain the sore and the gold are as one. Still falls the Rain-- Still falls the Blood from the Starved Man's wounded Side: He bears in His Heart all wounds,--those of the light that died, The last faint spark In the self-murdered heart, the wounds of the sad uncomprehending dark, The wounds of the baited bear-- The blind and weeping bear whom the keepers beat On his helpless flesh... the tears of the hunted hare. Still falls the Rain-- Then-- O Ile leape up to my God: who pulles me doune-- See, see where Christ's blood streames in the firmament: It flows from the Brow we nailed upon the tree Deep to the dying, to the thirsting heart That holds the fires of the world,--dark-smirched with pain As Caesar's laurel crown. Then sounds the voice of One who like the heart of man Was once a child who among beasts has lain-- ""Still do I love, still shed my innocent light, my Blood, for thee.""",poem_sum:poemsum_train.csv:row_23
The Harvest Moon by Ted Hughes,"The flame-red moon, the harvest moon, Rolls along the hills, gently bouncing, A vast balloon, Till it takes off, and sinks upward To lie on the bottom of the sky, like a gold doubloon. The harvest moon has come, Booming softly through heaven, like a bassoon. And the earth replies all night, like a deep drum. So people can't sleep, So they go out where elms and oak trees keep A kneeling vigil, in a religious hush. The harvest moon has come! And all the moonlit cows and all the sheep Stare up at her petrified, while she swells Filling heaven, as if red hot, and sailing Closer and closer like the end of the world. Till the gold fields of stiff wheat Cry `We are ripe, reap us!' and the rivers Sweat from the melting hills.",poem_sum:poemsum_train.csv:row_24
To a Captious Critic by Paul Laurence Dunbar,"Dear critic, who my lightness so deplores, Would I might study to be prince of bores, Right wisely would I rule that dull estate-- But, sir, I may not, till you abdicate",poem_sum:poemsum_train.csv:row_25
The Gift of India by Sarojini Naidu,"Is there aught you need that my hands withhold, Rich gifts of raiment or grain or gold? Lo! I have flung to the East and West Priceless treasures torn from my breast, And yielded the sons of my stricken womb To the drum-beats of duty, the sabres of doom. Gathered like pearls in their alien graves Silent they sleep by the Persian waves, Scattered like shells on Egyptian sands, They lie with pale brows and brave, broken hands, They are strewn like blossoms mown down by chance On the blood-brown meadows of Flanders and France. Can ye measure the grief of the tears I weep Or compass the woe of the watch I keep? Or the pride that thrills thro' my heart's despair And the hope that comforts the anguish of prayer? And the far sad glorious vision I see Of the torn red banners of Victory? When the terror and tumult of hate shall cease And life be refashioned on anvils of peace, And your love shall offer memorial thanks To the comrades who fought in your dauntless ranks, And you honour the deeds of the deathless ones Remember the blood of thy martyred sons!",poem_sum:poemsum_train.csv:row_26
The Farrier by Owen Sheers,"Blessing himself with his apron, the leather black and tan of a rain-beaten bay, he pinches a roll-up to his lips and waits the smoke slow-turning from his mouth, for the mare to be led from the field to the yard and the wind twisting his sideburns in its fingers. She smells him as he passes, woodbine, metal and hoof, careful not to look her in the eye as he runs his hand the length of her neck, checking for dust on the lintels. Folding her back leg with one arm, he leans into her flank like a man putting his shoulder to a knackered car, catches the hoof between his knees as if it's just fallen from a table, cups her fetlock and bends, a romantic lead dropping to the lips of his lover. Then the close work begins: cutting moon-sliver clippings, excavating the arrow head of her frog, filing at the sole and branding on a shoe in an apparition of smoke, three nails gritted between his teeth, a seamstress pinning the dress of the bride. Placing his tools in their beds, he gives her a slap and watches her leave, awkward in her new shoes, walking on strange ground. The sound of his steel, biting at her heels.",poem_sum:poemsum_train.csv:row_27
Romeo and Juliet Act I Prologue by William Shakespeare,"Two households, both alike in dignity, In fair Verona where we lay our scene, From ancient grudge break to new mutiny, Where civil blood makes civil hands unclean. From forth the fatal loins of these two foes, A pair of star-crossed lovers take their life, Whose misadventured piteous overthrows Doth, with their death, bury their parents' strife. The fearful passage of their death-marked love And the continuance of their parents' rage -- Which, but their children's end, nought could remove -- Is now the two hours' traffic of our stage; The which, if you with patient ears attend, What here shall miss, our toil shall strive to mend.",poem_sum:poemsum_train.csv:row_28
Concord Hymn by Ralph Waldo Emerson,"By the rude bridge that arched the flood, Their flag to April's breeze unfurled, Here once the embattled farmers stood And fired the shot heard round the world. The foe long since in silence slept; Alike the conqueror silent sleeps; And Time the ruined bridge has swept Down the dark stream which seaward creeps. On this green bank, by this soft stream, We set today a votive stone; That memory may their deed redeem, When, like our sires, our sons are gone. Spirit, that made those heroes dare To die, and leave their children free, Bid Time and Nature gently spare The shaft we raise to them and thee.",poem_sum:poemsum_train.csv:row_29
Autumn Song by Dante Gabriel Rossetti,"Know'st thou not at the fall of the leaf How the heart feels a languid grief Laid on it for a covering, And how sleep seems a goodly thing In Autumn at the fall of the leaf? And how the swift beat of the brain Falters because it is in vain, In Autumn at the fall of the leaf Knowest thou not? and how the chief Of joys seems--not to suffer pain? Know'st thou not at the fall of the leaf How the soul feels like a dried sheaf Bound up at length for harvesting, And how death seems a comely thing In Autumn at the fall of the leaf?",poem_sum:poemsum_train.csv:row_30
Postscript by Seamus Heaney,"And some time make the time to drive out west Into County Clare, along the Flaggy Shore, In September or October, when the wind And the light are working off each other So that the ocean on one side is wild With foam and glitter, and inland among stones The surface of a slate-grey lake is lit By the earthed lightning of a flock of swans, Their feathers roughed and ruffling, white on white, Their fully grown headstrong-looking heads Tucked or cresting or busy underwater. Useless to think you'll park and capture it More thoroughly. You are neither here nor there, A hurry through which known and strange things pass As big soft buffetings come at the car sideways And catch the heart off guard and blow it open.",poem_sum:poemsum_train.csv:row_31
On Sitting Down to Read King Lear Once Again by John Keats,"O golden-tongued Romance with serene lute! Fair plumed Syren! Queen of far away! Leave melodizing on this wintry day, Shut up thine olden pages, and be mute: Adieu! for once again the fierce dispute, Betwixt damnation and impassion'd clay Must I burn through; once more humbly assay The bitter-sweet of this Shakespearian fruit. Chief Poet! and ye clouds of Albion, Begetters of our deep eternal theme, When through the old oak forest I am gone, Let me not wander in a barren dream, But when I am consumed in the fire, Give me new Phoenix wings to fly at my desire.",poem_sum:poemsum_train.csv:row_32
