index,id,name_of_work,content,source
43,poem_sum:poemsum_train.csv:252,On the Beach at Night Alone by Walt Whitman,"On the beach at night alone,
As the old mother sways her to and fro singing her husky song,
As I watch the bright stars shining, I think a thought of the clef of the universes and of the future.

A vast similitude interlocks all,
All spheres, grown, ungrown, small, large, suns, moons, planets,
All distances of place however wide,
All distances of time, all inanimate forms,
All souls, all living bodies though they be ever so different, or in different worlds,
All gaseous, watery, vegetable, mineral processes, the fishes, the brutes,
All nations, colors, barbarisms, civilizations, languages,
All identities that have existed or may exist on this globe, or any globe,
All lives and deaths, all of the past, present, future,
This vast similitude spans them, and always has spann’d,
And shall forever span them and compactly hold and enclose them.",poem_sum
44,poem_sum:poemsum_train.csv:1627,Armistice by Sophie Jewett,"The water sings along our keel, The wind falls to a whispering breath;
I look into your eyes and feel
No fear of life or death; So near is love, so far away The losing strife of yesterday.
We watch the swallow skim and dip;
Some magic bids the world be still; Life stands with finger upon lip;
Love hath his gentle will;
Though hearts have bled, and tears have burned,
The river floweth unconcerned.
We pray the fickle flag of truce
Still float deceitfully and fair;
Our eyes must love its sweet abuse; This hour we will not care,
Though just beyond to-morrow's gate, Arrayed and strong, the battle wait.",poem_sum
45,45615,VIST Story 45615,the lake is actually pretty big .,vist
46,45968,VIST Story 45968,"the family went on vacation ,",vist
47,poem_sum:poemsum_train.csv:152,Haymaking by Edward Thomas,"Aftear night’s thunder far away had rolled
The fiery day had a kernel sweet of cold,
And in the perfect blue the clouds uncurled,
Like the first gods before they made the world
And misery, swimming the stormless sea
In beauty and in divine gaiety.
The smooth white empty road was lightly strewn
With leaves—the holly’s Autumn falls in June—
And fir cones standing stiff up in the heat.
The mill-foot water tumbled white and lit
With tossing crystals, happier than any crowd
Of children pouring out of school aloud.
And in the little thickets where a sleeper
For ever might lie lost, the nettle-creeper
And garden warbler sang unceasingly;
While over them shrill shrieked in his fierce glee
The swift with wings and tail as sharp and narrow
As if the bow had flown off with the arrow.
Only the scent of woodbine and hay new-mown
Travelled the road. In the field sloping down,
Park-like, to where its willows showed the brook,
Haymakers rested. The tosser lay forsook
Out in the sun; and the long waggon stood
Without its team, it seemed it never would
Move from the shadow of that single yew.
The team, as still, until their task was due,
Beside the labourers enjoyed the shade
That three squat oaks mid-field together made
Upon a circle of grass and weed uncut,
And on the hollow, once a chalk-pit, but
Now brimmed with nut and elder-flower so clean.
The men leaned on their rakes, about to begin,
But still. And all were silent. All was old,
This morning time, with a great age untold,
Older than Clare and Cobbett, Morland and Crome,
Than, at the field’s far edge, the farmer’s home,
A white house crouched at the foot of a great tree.
Under the heavens that know not what years be
The men, the beasts, the trees, the implements
Uttered even what they will in times far hence—
All of us gone out of the reach of change—
Immortal in a picture of an old grange.",poem_sum
48,poem_sum:poemsum_train.csv:1332,Aristotle by Billy Collins,"This is the beginning.
Almost anything can happen.
This is where you find
the creation of light, a fish wriggling onto land,
the first word of Paradise Lost on an empty page.
Think of an egg, the letter A,
a woman ironing on a bare stage
as the heavy curtain rises.
This is the very beginning.
The first-person narrator introduces himself,
tells us about his lineage.
The mezzo-soprano stands in the wings.
Here the climbers are studying a map
or pulling on their long woolen socks.
This is early on, years before the Ark, dawn.
The profile of an animal is being smeared
on the wall of a cave,
and you have not yet learned to crawl.
This is the opening, the gambit,
a pawn moving forward an inch.
This is your first night with her,
your first night without her.
This is the first part
where the wheels begin to turn,
where the elevator begins its ascent,
before the doors lurch apart.

This is the middle.
Things have had time to get complicated,
messy, really. Nothing is simple anymore.
Cities have sprouted up along the rivers
teeming with people at cross-purposes—
a million schemes, a million wild looks.
Disappointment unshoulders his knapsack
here and pitches his ragged tent.
This is the sticky part where the plot congeals,
where the action suddenly reverses
or swerves off in an outrageous direction.
Here the narrator devotes a long paragraph
to why Miriam does not want Edward's child.
Someone hides a letter under a pillow.
Here the aria rises to a pitch,
a song of betrayal, salted with revenge.
And the climbing party is stuck on a ledge
halfway up the mountain.
This is the bridge, the painful modulation.
This is the thick of things.
So much is crowded into the middle—
the guitars of Spain, piles of ripe avocados,
Russian uniforms, noisy parties,
lakeside kisses, arguments heard through a wall—
too much to name, too much to think about.

And this is the end,
the car running out of road,
the river losing its name in an ocean,
the long nose of the photographed horse
touching the white electronic line.
This is the colophon, the last elephant in the parade,
the empty wheelchair,
and pigeons floating down in the evening.
Here the stage is littered with bodies,
the narrator leads the characters to their cells,
and the climbers are in their graves.
It is me hitting the period
and you closing the book.
It is Sylvia Plath in the kitchen
and St. Clement with an anchor around his neck.
This is the final bit
thinning away to nothing.
This is the end, according to Aristotle,
what we have all been waiting for,
what everything comes down to,
the destination we cannot help imagining,
a streak of light in the sky,
a hat on a peg, and outside the cabin, falling leaves.",poem_sum
49,46004,VIST Story 46004,the furniture from abraham lincoln era is not much different from furniture of today,vist
50,poem_sum:poemsum_train.csv:1653,Listening to Michael Jackson in Tehran by Ali Alizadeh,"Smuggled across the fierce chasm
between us and the US, and then
hidden, stuffed between Farsi
and Science textbooks in my school
bag, the illegal and sacrilegious
cassette-tape of Thriller, ready for
revelation to the sheepish, ignorant
kids on the bus to my primary school
in war-stricken Tehran. My plan:
to expose the forbidden thing, exhibit
my courage, rebelliousness, etc. Autumn
of ’83, desperate for attention/approval
from the other kids. My copy of
dangerous Western ‘art’ would
unsettle the boring, Islamic world
of my classmates – and elevate my
cowardly, chubby, unpopular
self. I whispered to the kid next to me
if he had ever heard of ‘Billie Jean’
and ‘Beat It’; if he knew anything at all
about the number one famous
star of our wicked enemy. “I love
Thriller! Aren’t the zombies so scary
in the music video! They’re so ugly!” His
boisterous words echoed. The bus
vibrated with the singer’s name. Another
shouted he had a Thriller poster, and
another, a ‘Billie Jean’ T-shirt, a gift from
Turkey. Silenced, robbed of my planned
stardom, I sank in my seat; later threw out my
Thriller tape, the fetish of Great Satan’s
useless, ubiquitous popular culture.",poem_sum
51,poem_sum:poemsum_train.csv:1214,The Marriage of Heaven and Hell by William Blake,"Rintrah roars and shakes his fires in the burdened air;
Hungry clouds swag on the deep.

Once meek, and in a perilous path,
The just man kept his course along
The vale of death.
Roses are planted where thorns grow,
And on the barren heath
Sing the honey bees.

Then the perilous path was planted:
And a river and a spring
On every cliff and tomb;
And on the bleached bones
Red clay brought forth.

Till the villain left the paths of ease,
To walk in perilous paths, and drive
The just man into barren climes.

Now the sneaking serpent walks
In mild humility,
And the just man rages in the wilds
Where lions roam.

Rintrah roars and shakes his fires in the burdened air;
Hungry clouds swag on the deep.",poem_sum
52,poem_sum:poemsum_train.csv:1251,"Believe, Believe by Bob Kaufman","Believe in this. Young apple seeds,
In blue skies, radiating young breast,
Not in blue-suited insects,
Infesting society’s garments.
 
Believe in the swinging sounds of jazz,
Tearing the night into intricate shreds,
Putting it back together again,
In cool logical patterns,
Not in the sick controllers,
Who created only the Bomb.
 
Let the voices of dead poets
Ring louder in your ears
Than the screechings mouthed
In mildewed editorials.
Listen to the music of centuries,
Rising above the mushroom time.",poem_sum
53,45790,VIST Story 45790,i had a great time there .,vist
54,poem_sum:poemsum_train.csv:98,American Poetry by Louis Simpson,"Whatever it is, it must have
A stomach that can digest
Rubber, coal, uranium, moons, poems.
 
Like the shark it contains a shoe.
It must swim for miles through the desert
Uttering cries that are almost human.",poem_sum
55,45868,VIST Story 45868,during the ride her nervousness turned into excitement .,vist
56,45939,VIST Story 45939,the cake which was designed as the american flag was very delicious .,vist
57,45705,VIST Story 45705,we reached a cave and took a couple photos there .,vist
58,poem_sum:poemsum_train.csv:1575,The Listeners by Walter de la Mare,"‘Is there anybody there?’ said the Traveller, Knocking on the moonlit door;
And his horse in the silence champed the grasses Of the forest’s ferny floor:
And a bird flew up out of the turret, Above the Traveller’s head:
And he smote upon the door again a second time; ‘Is there anybody there?’ he said.
But no one descended to the Traveller; No head from the leaf-fringed sill
Leaned over and looked into his grey eyes, Where he stood perplexed and still.
But only a host of phantom listeners That dwelt in the lone house then
Stood listening in the quiet of the moonlight To that voice from the world of men:
Stood thronging the faint moonbeams on the dark stair, That goes down to the empty hall,
Hearkening in an air stirred and shaken By the lonely Traveller’s call.
And he felt in his heart their strangeness, Their stillness answering his cry,
While his horse moved, cropping the dark turf, ’Neath the starred and leafy sky;
For he suddenly smote on the door, even Louder, and lifted his head:—
‘Tell them I came, and no one answered, That I kept my word,’ he said.
Never the least stir made the listeners, Though every word he spake
Fell echoing through the shadowiness of the still house From the one man left awake:
Ay, they heard his foot upon the stirrup, And the sound of iron on stone,
And how the silence surged softly backward, When the plunging hoofs were gone.",poem_sum
59,45673,VIST Story 45673,he was totally surprised . and he loved the restaurant we chose .,vist
60,45695,VIST Story 45695,the grand marshal finished the parade up in a beautiful classic car .,vist
61,poem_sum:poemsum_train.csv:1165,Venus of the Louvre by Emma Lazarus,"Down the long hall she glistens like a star,
The foam-born mother of Love, transfixed to stone,
Yet none the less immortal, breathing on.
Time's brutal hand hath maimed but could not mar.
When first the enthralled enchantress from afar
Dazzled mine eyes, I saw not her alone,
Serenely poised on her world-worshipped throne,
As when she guided once her dove-drawn car,—
But at her feet a pale, death-stricken Jew,
Her life adorer, sobbed farewell to love.
Here Heine wept! Here still he weeps anew,
Nor ever shall his shadow lift or move,
While mourns one ardent heart, one poet-brain,
For vanished Hellas and Hebraic pain.",poem_sum
62,45884,VIST Story 45884,but our friend [female] was having a hard time deciding what to choose .,vist
63,45618,VIST Story 45618,the water was very still that day .,vist
64,46028,VIST Story 46028,this man had a cool fan that he let us use .,vist
65,45824,VIST Story 45824,the family thanked the military personnel .,vist
66,poem_sum:poemsum_train.csv:1643,The Hill by Edgar Lee Masters,"Where are Elmer, Herman, Bert, Tom and Charley,
The weak of will, the strong of arm, the clown, the boozer, the fighter?
All, all are sleeping on the hill.

One passed in a fever,
One was burned in a mine,
One was killed in a brawl,
One died in a jail,
One fell from a bridge toiling for children and wife —
All, all are sleeping, sleeping, sleeping on the hill.

Where are Ella, Kate, Mag, Lizzie and Edith,
The tender heart, the simple soul, the loud, the proud, the happy one? —
All, all are sleeping on the hill.

One died in shameful child-birth,
One of a thwarted love,
One at the hands of a brute in a brothel,
One of a broken pride, in the search for heart's desire,
One after life in far-away London and Paris
Was brought to her little space by Ella and Kate and Mag —
All, all are sleeping, sleeping, sleeping on the hill.

Where are Uncle Isaac and Aunt Emily,
And old Towny Kincaid and Sevigne Houghton,
And Major Walker who had talked
With venerable men of the revolution? —
All, all are sleeping on the hill.

They brought them dead sons from the war,
And daughters whom life had crushed,
And their children fatherless, crying —
All, all are sleeping, sleeping, sleeping on the hill.

Where is Old Fiddler Jones
Who played with life all his ninety years,
Braving the sleet with bared breast,
Drinking, rioting, thinking neither of wife nor kin,
Nor gold, nor love, nor heaven?
Lo! he babbles of the fish-frys of long ago,
Of the horse-races of long ago at Clary's Grove,
Of what Abe Lincoln said
One time at Springfield.",poem_sum
67,45551,VIST Story 45551,we went for a walk down the beach .,vist
68,45751,VIST Story 45751,each child contributed to building the train,vist
69,poem_sum:poemsum_train.csv:1565,an afternoon nap by Arthur Yap,"the ambitious mother across the road 
is at it again. proclaiming her goodness 
she beats the boy. shouting out his wrongs, with raps 
she begins with his mediocre report-book grades.

she strikes chords for the afternoon piano lesson, 
her voice stridently imitates 2 nd. lang. tuition, 
all the while circling the cowering boy 
in a manner apt for the most strenuous p.e. ploy.

swift are all her contorted movements, 
ape for every need; no soft gradient 
of a consonant-vowel figure, she lumbers 
& shrieks, a hit for every 2 notes missed.

his tears are dear. each monday, 
wednesday, friday, miss low & madam lim 
appear & take away $90 from the kitty 
leaving him an adagio, clause analysis, little 
pocket-money.

the embittered boy across the road
is at it again. proclaiming his bewilderment 
he yells at her. shouting out her wrongs, with tears 
he begins with her expensive taste for education.",poem_sum
