id,dataset_type,name_of_work,content,source
poem_0017,poem,How the Grinch stole Christmas by Dr. Seuss,"Every Who down in Whoville liked Christmas a lot. But the Grinch who lived just North of Whoville did not! The Grinch hated Christmas! The whole Christmas season! Now, please don't ask why. No one quite knows the reason. It could be, perhaps, that his shoes were too tight. It could be his head wasn't screwed on just right. But I think that the most likely reason of all May have been that his heart was two sizes too small. But, whatever the reason, his heart or his shoes, He stood there on Christmas Eve hating the Whos, Staring down from his cave with a sour, Grinchy frown At the warm lighted windows below in their town, For he knew every Who down in Whoville beneath Was busy now hanging a hollywho wreath. ""And they're hanging their stockings,"" he snarled with a sneer. ""Tomorrow is Christmas! It's practically here!"" Then he growled, with his Grinch fingers nervously drumming, ""I must find some way to keep Christmas from coming! For, tomorrow, I know all the Who girls and boys Will wake bright and early. They'll rush for their toys! And then! Oh, the noise! Oh, the noise! Noise! Noise! Noise! There's one thing I hate! All the NOISE! NOISE! NOISE! NOISE! [...] They'll stand close together, with Christmas bells ringing. They'll stand hand-in-hand, and those Whos will start singing!"" Fahoo forays, dahoo dorays Welcome Christmas! Come this way Fahoo forays, dahoo dorays Welcome Christmas, Christmas Day Welcome, welcome, fahoo ramus Welcome, welcome, dahoo damus Christmas Day is in our grasp So long as we have hands to clasp Fahoo forays, dahoo dorays... ""And they'll sing! And they'll sing! And they'll SING! SING! SING! SING!"" And the more the Grinch thought of this Who Christmas Sing, The more the Grinch thought, ""I must stop this whole thing! Why for fifty-three years I've put up with it now! I must stop Christmas from coming! But how?"" Then he got an idea! An awful idea! The Grinch got a wonderful, awful idea! ""I know just what to do!"" The Grinch laughed in his throat. ""I'll make a quick Santy Claus hat and a coat."" [...] ""This is stop number one,"" the old Grinchy Claus hissed, As he climbed to the roof, empty bags in his fist. Then he slid down the chimney, a rather tight pinch. But if Santa could do it, then so could the Grinch. He got stuck only once, for a minute or two. Then he stuck his head out of the fireplace flue Where the little Who stockings hung all in a row. ""These stockings,"" he grinched, ""are the first things to go!"" Then he slithered and slunk, with a smile most unpleasant, Around the whole room, and he took every present! [...] It was quarter of dawn. All the Whos still a-bed, All the Whos still a-snooze, when he packed up his sled, Packed it up with their presents, their ribbons, their wrappings, Their snoof and their fuzzles, their tringlers and trappings! Ten thousand feet up, up the side of Mount Crumpet, He rode with his load to the tiptop to dump it! ""Pooh-pooh to the Whos!"" he was grinchily humming. ""They're finding out now that no Christmas is coming! They're just waking up! I know just what they'll do! Their mouths will hang open a minute or two Then the Whos down in Whoville will all cry boo-hoo! That's a noise,"" grinned the Grinch, ""that I simply must hear!"" He paused, and the Grinch put a hand to his ear. And he did hear a sound rising over the snow. It started in low, then it started to grow. But this sound wasn't sad! Why, this sound sounded glad! Every Who down in Whoville, the tall and the small, Was singing without any presents at all! He hadn't stopped Christmas from coming! It came! Somehow or other, it came just the same! And the Grinch, with his grinch feet ice-cold in the snow, Stood puzzling and puzzling. ""How could it be so? It came without ribbons! It came without tags! It came without packages, boxes, or bags!"" He puzzled and puzzed till his puzzler was sore. Then the Grinch thought of something he hadn't before. Maybe Christmas, he thought, doesn't come from a store. Maybe Christmas, perhaps, means a little bit more! And what happened then? Well, in Whoville they say That the Grinch's small heart grew three sizes that day! And then the true meaning of Christmas came through, And the Grinch found the strength of ten Grinches, plus two! And now that his heart didn't feel quite so tight, He whizzed with his load through the bright morning light With a smile to his soul, he descended Mount Crumpet Cheerily blowing ""Who! Who!"" on his trumpet. He rode into Whoville. He brought back their toys. He brought back their floof to the Who girls and boys. He brought back their snoof and their tringlers and fuzzles, Brought back their pantookas, their dafflers and wuzzles. He brought everything back, all the food for the feast! And he, he himself, the Grinch carved the roast beast! Welcome Christmas. Bring your cheer, Cheer to all Whos, far and near. Christmas Day is in our grasp So long as we have hands to grasp. Christmas Day will always be Just as long as we have we. Welcome Christmas while we stand Heart to heart and hand in hand.",poem_sum:poemsum_train.csv:row_588
poem_0018,poem,London Snow by Robert Bridges,"When men were all asleep the snow came flying, In large white flakes falling on the city brown, Stealthily and perpetually settling and loosely lying, Hushing the latest traffic of the drowsy town; Deadening, muffling, stifling its murmurs failing; Lazily and incessantly floating down and down: Silently sifting and veiling road, roof and railing; Hiding difference, making unevenness even, Into angles and crevices softly drifting and sailing. All night it fell, and when full inches seven It lay in the depth of its uncompacted lightness, The clouds blew off from a high and frosty heaven; And all woke earlier for the unaccustomed brightness Of the winter dawning, the strange unheavenly glare: The eye marvelled--marvelled at the dazzling whiteness; The ear hearkened to the stillness of the solemn air; No sound of wheel rumbling nor of foot falling, And the busy morning cries came thin and spare. Then boys I heard, as they went to school, calling, They gathered up the crystal manna to freeze Their tongues with tasting, their hands with snowballing; Or rioted in a drift, plunging up to the knees; Or peering up from under the white-mossed wonder, 'O look at the trees!' they cried, 'O look at the trees!' With lessened load a few carts creak and blunder, Following along the white deserted way, A country company long dispersed asunder: When now already the sun, in pale display Standing by Paul's high dome, spread forth below His sparkling beams, and awoke the stir of the day. For now doors open, and war is waged with the snow; And trains of sombre men, past tale of number, Tread long brown paths, as toward their toil they go: But even for them awhile no cares encumber Their minds diverted; the daily word is unspoken, The daily thoughts of labour and sorrow slumber At the sight of the beauty that greets them, for the charm they have broken.",poem_sum:poemsum_train.csv:row_1408
poem_0019,poem,Remembrance by Emily Bronte,"Cold in the earth--and the deep snow piled above thee, Far, far removed, cold in the dreary grave! Have I forgot, my only Love, to love thee, Severed at last by Time's all-severing wave? Now, when alone, do my thoughts no longer hover Over the mountains, on that northern shore, Resting their wings where heath and fern-leaves cover Thy noble heart forever, ever more? Cold in the earth--and fifteen wild Decembers, From those brown hills, have melted into spring: Faithful, indeed, is the spirit that remembers After such years of change and suffering! Sweet Love of youth, forgive, if I forget thee, While the world's tide is bearing me along; Other desires and other hopes beset me, Hopes which obscure, but cannot do thee wrong! No later light has lightened up my heaven, No second morn has ever shone for me; All my life's bliss from thy dear life was given, All my life's bliss is in the grave with thee. But, when the days of golden dreams had perished, And even Despair was powerless to destroy, Then did I learn how existence could be cherished, Strengthened, and fed without the aid of joy. Then did I check the tears of useless passion-- Weaned my young soul from yearning after thine; Sternly denied its burning wish to hasten Down to that tomb already more than mine. And, even yet, I dare not let it languish, Dare not indulge in memory's rapturous pain; Once drinking deep of that divinest anguish, How could I seek the empty world again?",poem_sum:poemsum_train.csv:row_606
poem_0020,poem,Crow Song by Margaret Atwood,"ln the arid sun, over the field where the corn has rotted and then dried up, you flock and squabble. Not much here for you, my people, but there would be if if In my austere black uniform I raised the banner which decreed Hope and which did not succeed and which is not allowed. Now I must confront the angel who says Win, who tells me to wave any banner that you will follow for you ignore me, my baffled people, you have been through too many theories too many stray bullets your eyes are gravel, skeptical, in this hard field you pay attention only to the rhetoric of seed fruit stomach elbow. You have too many leaders you have too many wars, all of them pompous and small, you resist only when you feel like dressing up, you forget the sane corpses ...",poem_sum:poemsum_train.csv:row_1278
poem_0021,poem,Facts About the Moon by Dorianne Laux,"The moon is backing away from us an inch and a half each year. That means if you're like me and were born around fifty years ago the moon was a full six feet closer to the earth. What's a person supposed to do? I feel the gray cloud of consternation travel across my face. I begin thinking about the moon-lit past, how if you go back far enough you can imagine the breathtaking hugeness of the moon, prehistoric solar eclipses when the moon covered the sun so completely there was no corona, only a darkness we had no word for. And future eclipses will look like this: the moon a small black pupil in the eye of the sun. But these are bald facts. What bothers me most is that someday the moon will spiral right out of orbit and all land-based life will die. The moon keeps the oceans from swallowing the shores, keeps the electromagnetic fields in check at the polar ends of the earth. And please don't tell me what I already know, that it won't happen for a long time. I don't care. I'm afraid of what will happen to the moon. Forget us. We don't deserve the moon. Maybe we once did but not now after all we've done. These nights I harbor a secret pity for the moon, rolling around alone in space without her milky planet, her only child, a mother who's lost a child, a bad child, a greedy child or maybe a grown boy who's murdered and raped, a mother can't help it, she loves that boy anyway, and in spite of herself she misses him, and if you sit beside her on the padded hospital bench outside the door to his room you can't not take her hand, listen to her while she weeps, telling you how sweet he was, how blue his eyes, and you know she's only romanticizing, that she's conveniently forgotten the bruises and booze, the stolen car, the day he ripped the phones from the walls, and you want to slap her back to sanity, remind her of the truth: he was a leech, a fuckup, a little shit, and you almost do until she lifts her pale puffy face, her eyes two craters and then you can't help it either, you know love when you see it, you can feel its lunar strength, its brutal pull.",poem_sum:poemsum_train.csv:row_1406
poem_0022,poem,For Whom the Bell Tolls/No Man is an Island by John Donne,"No man is an island, Entire of itself. Each is a piece of the continent, A part of the main. If a clod be washed away by the sea, Europe is the less. As well as if a promontory were. As well as if a manor of thine own Or of thine friend's were. Each man's death diminishes me, For I am involved in mankind. Therefore, send not to know For whom the bell tolls, It tolls for thee.",poem_sum:poemsum_train.csv:row_1194
poem_0023,poem,Good Bones by Maggie Smith,"Life is short, though I keep this from my children. Life is short, and I've shortened mine in a thousand delicious, ill-advised ways, a thousand deliciously ill-advised ways I'll keep from my children. The world is at least fifty percent terrible, and that's a conservative estimate, though I keep this from my children. For every bird there is a stone thrown at a bird. For every loved child, a child broken, bagged, sunk in a lake. Life is short and the world is at least half terrible, and for every kind stranger, there is one who would break you, though I keep this from my children. I am trying to sell them the world. Any decent realtor, walking you through a real shithole, chirps on about good bones: This place could be beautiful, right? You could make this place beautiful.",poem_sum:poemsum_train.csv:row_1979
poem_0024,poem,Oranges by Gary Soto,"The first time I walked With a girl, I was twelve, Cold, and weighted down With two oranges in my jacket. December. Frost cracking Beneath my steps, my breath Before me, then gone, As I walked toward Her house, the one whose Porch light burned yellow Night and day, in any weather. A dog barked at me, until She came out pulling At her gloves, face bright With rouge. I smiled, Touched her shoulder, and led Her down the street, across A used car lot and a line Of newly planted trees, Until we were breathing Before a drugstore. We Entered, the tiny bell Bringing a saleslady Down a narrow aisle of goods. I turned to the candies Tiered like bleachers, And asked what she wanted - Light in her eyes, a smile Starting at the corners Of her mouth. I fingered A nickle in my pocket, And when she lifted a chocolate That cost a dime, I didn't say anything. I took the nickle from My pocket, then an orange, And set them quietly on The counter. When I looked up, The lady's eyes met mine, And held them, knowing Very well what it was all About. Outside, A few cars hissing past, Fog hanging like old Coats between the trees. I took my girl's hand In mine for two blocks, Then released it to let Her unwrap the chocolate. I peeled my orange That was so bright against The gray of December That, from some distance, Someone might have thought I was making a fire in my hands.",poem_sum:poemsum_train.csv:row_454
poem_0025,poem,For the Time Being by W.H. Auden,"Well, so that is that. Now we must dismantle the tree, Putting the decorations back into their cardboard boxes -- Some have got broken -- and carrying them up to the attic. The holly and the mistletoe must be taken down and burnt, And the children got ready for school. There are enough Left-overs to do, warmed-up, for the rest of the week -- Not that we have much appetite, having drunk such a lot, Stayed up so late, attempted -- quite unsuccessfully -- To love all of our relatives, and in general Grossly overestimated our powers. Once again As in previous years we have seen the actual Vision and failed To do more than entertain it as an agreeable Possibility, once again we have sent Him away, Begging though to remain His disobedient servant, The promising child who cannot keep His word for long. The Christmas Feast is already a fading memory, And already the mind begins to be vaguely aware Of an unpleasant whiff of apprehension at the thought Of Lent and Good Friday which cannot, after all, now Be very far off. But, for the time being, here we all are, Back in the moderate Aristotelian city Of darning and the Eight-Fifteen, where Euclid's geometry And Newton's mechanics would account for our experience, And the kitchen table exists because I scrub it. It seems to have shrunk during the holidays. The streets Are much narrower than we remembered; we had forgotten The office was as depressing as this. To those who have seen The Child, however dimly, however incredulously, The Time Being is, in a sense, the most trying time of all. For the innocent children who whispered so excitedly Outside the locked door where they knew the presents to be Grew up when it opened. Now, recollecting that moment We can repress the joy, but the guilt remains conscious; Remembering the stable where for once in our lives Everything became a You and nothing was an It. And craving the sensation but ignoring the cause, We look round for something, no matter what, to inhibit Our self-reflection, and the obvious thing for that purpose Would be some great suffering. So, once we have met the Son, We are tempted ever after to pray to the Father; ""Lead us into temptation and evil for our sake."" They will come, all right, don't worry; probably in a form That we do not expect, and certainly with a force More dreadful than we can imagine. In the meantime There are bills to be paid, machines to keep in repair, Irregular verbs to learn, the Time Being to redeem From insignificance. The happy morning is over, The night of agony still to come; the time is noon: When the Spirit must practice his scales of rejoicing Without even a hostile audience, and the Soul endure A silence that is neither for nor against her faith That God's Will will be done, That, in spite of her prayers, God will cheat no one, not even the world of its triumph.",poem_sum:poemsum_train.csv:row_960
poem_0026,poem,Love is Not All by Edna St. Vincent Millay,"Love is not all: it is not meat nor drink Nor slumber nor a roof against the rain; Nor yet a floating spar to men that sink And rise and sink and rise and sink again; Love can not fill the thickened lung with breath, Nor clean the blood, nor set the fractured bone; Yet many a man is making friends with death Even as I speak, for lack of love alone. It well may be that in a difficult hour, Pinned down by pain and moaning for release, Or nagged by want past resolution's power, I might be driven to sell your love for peace, Or trade the memory of this night for food. It well may be. I do not think I would.",poem_sum:poemsum_train.csv:row_497
poem_0027,poem,Sonnet 23 - Methought I saw my late espoused saint by John Milton,"Methought I saw my late espoused saint Brought to me, like Alcestis, from the grave, Whom Jove's great son to her glad husband gave, Rescu'd from death by force, though pale and faint. Mine, as whom wash'd from spot of child-bed taint Purification in the old Law did save, And such as yet once more I trust to have Full sight of her in Heaven without restraint, Came vested all in white, pure as her mind; Her face was veil'd, yet to my fancied sight Love, sweetness, goodness, in her person shin'd So clear as in no face with more delight. But Oh! as to embrace me she inclin'd, I wak'd, she fled, and day brought back my night.",poem_sum:poemsum_train.csv:row_1475
poem_0028,poem,To Helen by Edgar Allan Poe,"Helen, thy beauty is to me Like those Nicean barks of yore, That gently, o'er a perfumed sea, The weary, way-worn wanderer bore To his own native shore. On desperate seas long wont to roam, Thy hyacinth hair, thy classic face, Thy Naiad airs have brought me home To the glory that was Greece, And the grandeur that was Rome. Lo! in yon brilliant window-niche How statue-like I see thee stand, The agate lamp within thy hand! Ah, Psyche, from the regions which Are Holy-Land!",poem_sum:poemsum_train.csv:row_91
poem_0029,poem,A Country Life by Randall Jarrell,"A bird that I don't know, Hunched on his light-pole like a scarecrow, Looks sideways out into the wheat The wind waves under the waves of heat. The field is yellow as egg-bread dough Except where (just as though they'd let It live for looks) a locust billows In leaf-green and shade-violet, A standing mercy. The bird calls twice, ""Red clay, red clay""; Or else he's saying, ""Directly, directly."" If someone came by I could ask, Around here all of them must know -- And why they live so and die so -- Or why, for once, the lagging heron Flaps from the little creek's parched cresses Across the harsh-grassed, gullied meadow To the black, rowed evergreens below. They know and they don't know. To ask, a man must be a stranger -- And asking, much more answering, is dangerous; Asked about it, who would not repent Of all he ever did and never meant, And think a life and its distresses, Its random, clutched-for, homefelt blisses, The circumstances of an accident? The farthest farmer in a field, A gaunt plant grown, for seed, by farmers, Has felt a longing, lorn urbanity Jailed in his breast; and, just as I, Has grunted, in his old perplexity, A standing plea. From the tar of the blazing square The eyes shift, in their taciturn And unavowing, unavailable sorrow. Yet the intonation of a name confesses Some secrets that they never meant To let out to a soul; and what words would not dim The bowed and weathered heads above the denim Or the once-too-often washed wash dresses? They are subdued to their own element. One day The red, clay face Is lowered to the naked clay; After some words, the body is forsaken The shadows lengthen, and a dreaming hope Breathes, from the vague mound, Life; From the grove under the spire Stars shine, and a wandering light Is kindled for the mourner, man. The angel kneeling with the wreath Sees, in the moonlight, graves.",poem_sum:poemsum_train.csv:row_131
poem_0030,poem,Nearing Forty by Derek Walcott,"Insomniac since four, hearing this narrow, rigidly-metred, early-rising rain recounting, as its coolness numbs the marrow, that I am nearing forty, nearer the weak vision thickening to a frosted pane, nearer the day when I may judge my work by the bleak modesty of middle age as a false dawn, fireless and average, which would be just, because your life bled for the household truth, the style past metaphor that finds its parallel however wretched in simple, shining lines, in pages stretched plain as a bleaching bedsheet under a gutter- ing rainspout, glad for the sputter of occasional insight; you who foresaw ambition as a searing meteor will fumble a damp match and, smiling, settle for the dry wheezing of a dented kettle, for vision narrower than a louvre's gap, then, watching your leaves thin, recall how deep prodigious cynicism plants its seed, gauges our seasons by this year's end rain which, as greenhorns at school, we'd call conventional for convectional; or you will rise and set your lines to work with sadder joy but steadier elation, until the night when you can really sleep, measuring how imagination ebbs, conventional as any water clerk who weighs the force of lightly falling rain, which, as the new moon moves it, does its work even when it seems to weep.",poem_sum:poemsum_train.csv:row_1743
poem_0031,poem,Stone by Charles Simic,"Go inside a stone That would be my way. Let somebody else become a dove Or gnash with a tiger's tooth. I am happy to be a stone. From the outside the stone is a riddle: No one knows how to answer it. Yet within, it must be cool and quiet Even though a cow steps on it full weight, Even though a child throws it in a river; The stone sinks, slow, unperturbed To the river bottom Where the fishes come to knock on it And listen. I have seen sparks fly out When two stones are rubbed, So perhaps it is not dark inside after all; Perhaps there is a moon shining From somewhere, as though behind a hill-- Just enough light to make out The strange writings, the star-charts On the inner walls.",poem_sum:poemsum_train.csv:row_524
